date,stock,sigma,ADV
2019-02-27,AAP,0.000385968876215865,181090.45
2019-02-28,AAP,0.000383981858277245,178993.45
2019-03-01,AAP,0.00038765705253009997,179835.95
2019-03-04,AAP,0.00038689825923949,179416.0
2019-03-05,AAP,0.00038528921720064,172881.4
2019-03-06,AAP,0.000385565302473455,174400.15
2019-03-07,AAP,0.00038468196496727996,175624.15
2019-03-08,AAP,0.000387345058497245,175669.15
2019-03-11,AAP,0.00037890135777629,174274.9
2019-03-12,AAP,0.00037816361623917497,172458.9
2019-03-13,AAP,0.000380469239620835,172120.9
2019-03-14,AAP,0.00038198682427009495,167258.9
2019-03-15,AAP,0.000377354066304635,164148.9
2019-03-18,AAP,0.000374459539530145,167135.4
2019-03-19,AAP,0.00038157034987159,173224.1
2019-03-20,AAP,0.000358542453380415,164892.05
2019-03-21,AAP,0.000348927419841855,155988.65
2019-03-22,AAP,0.00034431313963292,151905.15
2019-03-25,AAP,0.000345913627512565,152727.45
2019-03-26,AAP,0.00034723585910322003,147663.05
2019-03-27,AAP,0.000337856973327445,142248.85
2019-03-28,AAP,0.00033695960422073503,140795.75
2019-03-29,AAP,0.00033365733290431,135787.1
2019-04-01,AAP,0.00032998919716461497,132470.05
2019-04-02,AAP,0.000331279655458115,130470.75
2019-04-03,AAP,0.00032894350964286496,129843.35
2019-04-04,AAP,0.00032751388126631,127617.8
2019-04-05,AAP,0.00032242040941328997,124709.05
2019-04-08,AAP,0.00032095899019757496,120226.9
2019-04-09,AAP,0.00032116137152075,119162.4
2019-04-10,AAP,0.00031551062735499,118329.75
2019-04-11,AAP,0.00031408083095490504,121216.3
2019-04-12,AAP,0.000315464353858015,121812.0
2019-04-15,AAP,0.000312335754745545,119852.4
2019-04-16,AAP,0.000302141860695065,110024.55
2019-04-17,AAP,0.00029592171788418,105299.75
2019-04-18,AAP,0.00029377632983094504,103344.1
2019-04-22,AAP,0.000292642138391075,101583.65
2019-04-23,AAP,0.00029200944620102,99570.3
2019-04-24,AAP,0.00028503604068674,102225.05
2019-04-25,AAP,0.000281701737571785,100156.75
2019-04-26,AAP,0.00028594779743829996,99712.85
2019-04-29,AAP,0.000285020927662225,99841.2
2019-04-30,AAP,0.000283939212960535,100117.8
2019-05-01,AAP,0.000281211483424875,102345.9
2019-05-02,AAP,0.000284775524636415,104091.3
2019-05-03,AAP,0.000284503533708955,105972.8
2019-05-06,AAP,0.00028685790024410003,106542.9
2019-05-07,AAP,0.000288793164955515,111745.4
2019-05-08,AAP,0.00029217960912575997,115955.45
2019-05-09,AAP,0.00029919084587543503,115682.95
2019-05-10,AAP,0.00029888679359889,114738.7
2019-05-13,AAP,0.000302176953137975,114754.2
2019-05-14,AAP,0.00030874848069237503,120132.6
2019-05-15,AAP,0.000314667702030295,123154.65
2019-05-16,AAP,0.000322060752368575,123949.6
2019-05-17,AAP,0.00032660826798193497,126411.65
2019-05-20,AAP,0.00032788527277818495,129417.75
2019-05-21,AAP,0.00032956366536959,134966.0
2019-05-22,AAP,0.00033715423412868995,137300.55
