stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,c,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,apply_terminal_condition,strategy,model_type,alpha_key
AES,2019-02-28,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,22468349.34973321,73593.36190476193,737.4804149599775,0.0032754236085276002,True,True,non_rolling_afs_day_only,afs,intraday_only
AFL,2019-02-01,304800.04761904763,0.000232499900595,0.4636614452545816,300.0,0.0023104906018664843,0.5,0.2,60960.00952380953,11093477.509115763,60960.00952380954,167.89132880104708,0.005495121748227037,True,True,non_rolling_afs_day_only,afs,intraday_only
AFL,2019-02-04,304800.04761904763,0.000232499900595,0.4636614452545816,300.0,0.0023104906018664843,0.5,0.2,60960.00952380953,12429190.437335785,60960.00952380953,406.2372109309599,0.004904584078194911,True,True,non_rolling_afs_day_only,afs,intraday_only
AFL,2019-02-05,304800.04761904763,0.000232499900595,0.4636614452545816,300.0,0.0023104906018664843,0.5,0.2,60960.00952380953,11991119.436516732,60960.00952380954,-554.439053313914,0.0050837630170013255,True,True,non_rolling_afs_day_only,afs,intraday_only
AFL,2019-02-06,304800.04761904763,0.000232499900595,0.4636614452545816,300.0,0.0023104906018664843,0.5,0.2,60960.00952380953,14138637.905033592,60960.00952380954,-309.32550260835535,0.004311589980114474,True,True,non_rolling_afs_day_only,afs,intraday_only
AFL,2019-02-07,304800.04761904763,0.000232499900595,0.4636614452545816,300.0,0.0023104906018664843,0.5,0.2,60960.00952380953,10661002.32224196,60960.00952380954,-322.1422636195319,0.005718037355327198,True,True,non_rolling_afs_day_only,afs,intraday_only
AFL,2019-02-08,304800.04761904763,0.000232499900595,0.4636614452545816,300.0,0.0023104906018664843,0.5,0.2,60960.00952380953,10635074.178803738,60960.00952380954,144.21738952488326,0.005731977840390247,True,True,non_rolling_afs_day_only,afs,intraday_only
AFL,2019-02-11,304800.04761904763,0.000232499900595,0.4636614452545816,300.0,0.0023104906018664843,0.5,0.2,60960.00952380953,12641210.188674282,60960.00952380953,-307.92044411428503,0.004822323860924788,True,True,non_rolling_afs_day_only,afs,intraday_only
AFL,2019-02-12,304800.04761904763,0.000232499900595,0.4636614452545816,300.0,0.0023104906018664843,0.5,0.2,60960.00952380953,9758108.067859769,60960.009523809524,38.04089724822363,0.006247113590040389,True,True,non_rolling_afs_day_only,afs,intraday_only
AFL,2019-02-13,304800.04761904763,0.000232499900595,0.4636614452545816,300.0,0.0023104906018664843,0.5,0.2,60960.00952380953,13733303.799681941,60960.00952380953,-959.130597209266,0.004438845190712328,True,True,non_rolling_afs_day_only,afs,intraday_only
